1	1	110000	+	0.031007752
1	110001	220000	+	0
1	220001	330000	+	0.031007752
1	330001	440000	+	0
1	440001	550000	+	0.062015504
1	550001	660000	+	0.015503876
1	660001	770000	+	0.062015504
1	770001	880000	+	0.031007752
1	880001	990000	+	0.031007752
1	990001	1100000	+	0.062015504
1	1100001	1210000	+	0
1	1210001	1320000	+	0.015503876
1	1320001	1380000	+	0
1	1440001	1550000	+	0.108527132
1	1550001	1660000	+	0
1	1660001	1770000	+	0
1	1770001	1880000	+	0.015503876
1	1880001	1990000	+	0
1	1990001	2100000	+	0
1	2100001	2210000	+	0.031007752
1	2210001	2320000	+	0.093023256
1	2380001	2490000	+	0.031007752
1	2490001	2600000	+	0.031007752
1	2600001	2710000	+	0.046511628
1	2710001	2820000	+	0
1	2820001	2930000	+	0
1	2930001	3040000	+	0.062015504
1	3040001	3150000	+	0
1	3150001	3170000	+	0
1	3230001	3340000	+	0.015503876
1	3340001	3450000	+	0.031007752
1	3450001	3540000	+	0.07751938
1	3600001	3710000	+	0.015503876
1	3710001	3820000	+	0
1	3820001	3930000	+	0.015503876
1	3930001	4040000	+	0.124031008
1	4040001	4150000	+	0.031007752
1	4150001	4190000	+	0.031007752
1	4250001	4360000	+	0
1	4360001	4430000	+	0.015503876
1	4490001	4600000	+	0
1	4600001	4710000	+	0.015503876
1	4710001	4820000	+	0.015503876
1	4820001	4930000	+	0.031007752
1	4930001	5040000	+	0
1	5040001	5150000	+	0.046511628
1	5150001	5190000	+	0.015503876
1	5250001	5360000	+	0
1	5360001	5470000	+	0
1	5470001	5580000	+	0.015503876
1	5580001	5600000	+	0
1	5660001	5770000	+	0.015503876
1	5770001	5870000	+	0
1	5930001	6040000	+	0
1	6040001	6150000	+	0
1	6150001	6260000	+	0
1	6260001	6370000	+	0
1	6370001	6480000	+	0.015503876
1	6480001	6590000	+	0
1	6590001	6700000	+	0
1	6700001	6810000	+	0
1	6810001	6920000	+	0
1	6920001	7030000	+	0
1	7030001	7140000	+	0.015503876
1	7140001	7250000	+	0
1	7250001	7330000	+	0
1	7550001	7660000	+	0.046511628
1	7660001	7770000	+	0
1	7770001	7880000	+	0
1	7880001	7990000	+	0
1	8050001	8160000	+	0.046511628
1	8160001	8270000	+	0.062015504
1	8270001	8380000	+	0.015503876
1	8380001	8490000	+	0.046511628
1	8490001	8600000	+	0.062015504
1	8600001	8710000	+	0.046511628
1	8710001	8820000	+	0.031007752
1	8820001	8930000	+	0.015503876
1	8930001	9040000	+	0
1	9040001	9150000	+	0.031007752
1	9150001	9260000	+	0.031007752
1	9260001	9270000	+	0
1	9330001	9440000	+	0
1	9440001	9550000	+	0.015503876
1	9550001	9660000	+	0.015503876
1	9660001	9770000	+	0.093023256
1	9770001	9880000	+	0.015503876
1	9880001	9990000	+	0
1	9990001	10050000	+	0
1	10110001	10220000	+	0.015503876
1	10220001	10330000	+	0.015503876
1	10330001	10440000	+	0.046511628
1	10440001	10550000	+	0.031007752
1	10550001	10660000	+	0.015503876
1	10660001	10770000	+	0
1	10770001	10820000	+	0
1	10880001	10990000	+	0
1	10990001	11040000	+	0
1	11100001	11210000	+	0.015503876
1	11210001	11320000	+	0
1	11320001	11430000	+	0.015503876
1	11430001	11460000	+	0
1	11520001	11560000	+	0
1	11620001	11730000	+	0.046511628
1	11730001	11840000	+	0
1	11840001	11950000	+	0
1	11950001	12060000	+	0
1	12060001	12170000	+	0
1	12170001	12280000	+	0
1	12340001	12450000	+	0
1	12450001	12560000	+	0
1	12560001	12670000	+	0
1	12670001	12780000	+	0
1	12780001	12890000	+	0.015503876
1	12890001	13000000	+	0.015503876
1	13000001	13010000	+	0.015503876
1	13070001	13180000	+	0
1	13180001	13290000	+	0.015503876
1	13290001	13400000	+	0.015503876
1	13400001	13510000	+	0.031007752
1	13510001	13620000	+	0.015503876
1	13620001	13730000	+	0
1	13730001	13840000	+	0
1	13840001	13950000	+	0
1	13950001	14060000	+	0.031007752
